oui,manufacturer,registry,short_name,device_type,address,sources
E0:43:DB,"Shenzhen ViewAt Technology Co.,Ltd.",MA-L,,,"9A,Microprofit,6th Gaoxin South Road, High-Tech Industrial Park, Nanshan, Shenzhen, CHINA. shenzhen guangdong CN 518057 ",IEEE+Nmap
24:05:F5,"Integrated Device Technology (Malaysia) Sdn. Bhd.",MA-L,,,"Phase 3, Bayan Lepas FIZ Bayan Lepas Penang MY 11900 ",IEEE+Nmap
3C:D9:2B,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
9C:8E:99,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
B4:99:BA,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
1C:C1:DE,"Hewlett Packard",MA-L,,,"11445 Compaq Center Drive Houston  US 77070",IEEE+Nmap
3C:35:56,"Cognitec Systems GmbH",MA-L,,,"Großenhainer Str. 101 Dresden Saxony DE 01127",IEEE+Nmap
00:50:BA,"D-Link Corporation",MA-L,,,"2F, NO. 233L-2, PAO-CHIAO RD. TAIPEI  TW 0000 ",IEEE+Nmap
00:17:9A,"D-Link Corporation",MA-L,,,"No. 289, Sinhu 3rd Rd., Neihu District, Taipei  TW 114 ",IEEE+Nmap
1C:BD:B9,"D-Link International",MA-L,,,"1 INTERNATIONAL  BUSINESS  PARK, SINGAPORE  SG 609917 ",IEEE+Nmap
90:94:E4,"D-Link International",MA-L,,,"1 International Business Park, #03-12, The Synergy  SINGAPORE  SG 609917 ",IEEE+Nmap
28:10:7B,"D-Link International",MA-L,,,"1 International Business Park, #03-12, The Synergy  SINGAPORE  SG 609917 ",IEEE+Nmap
1C:7E:E5,"D-Link International",MA-L,,,"1 International Business Park, #03-12, The Synergy  SINGAPORE  SG 609917 ",IEEE+Nmap
C4:A8:1D,"D-Link International",MA-L,,,"1 Internal Business Park, #03-12, SINGAPORE Singapore SG 609917 ",IEEE+Nmap
18:62:2C,"Sagemcom Broadband SAS",MA-L,,,"250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848",IEEE+Nmap
7C:03:D8,"Sagemcom Broadband SAS",MA-L,,,"250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848",IEEE+Nmap
E8:F1:B0,"Sagemcom Broadband SAS",MA-L,,,"250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848",IEEE+Nmap
00:F8:71,"DGS Denmark A/S",MA-L,,,"Kongebakken 9 Smørum  DK 2765",IEEE+Nmap
20:BB:76,"COL GIOVANNI PAOLO SpA",MA-L,,,"Via F.lli Ceirano n. 20 Moncalieri TORINO IT 10024",IEEE+Nmap
2C:22:8B,"CTR SRL",MA-L,,,"Via Lario 33 Cantù Cantù (CO) IT 22063",IEEE+Nmap
34:8A:AE,"Sagemcom Broadband SAS",MA-L,,,"250 route de l'Empereur RUEIL MALMAISON CEDEX Hauts de Seine FR 92848",IEEE+Nmap
BC:EC:23,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",MA-L,,,"Unit A13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District,Shenzhen,China ShenZhen GuangDong CN 518057 ",IEEE+Nmap
AC:06:C7,"ServerNet S.r.l.",MA-L,,,"Località Padriciano 99 Trieste Trieste IT 34149",IEEE+Nmap
CC:46:D6,"Cisco Systems, Inc",MA-L,,,"80 West Tasman Drive San Jose CA US 94568",IEEE+Nmap
48:AD:08,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 ",IEEE+Nmap
2C:AB:00,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,,,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 ",IEEE+Nmap
